year,date,venue,city_state,imageurl,net_link
1989,1989-01-18,Gallagher's,"Waitsfield, VT",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-01-18.jpg,https://phish.net/setlists/phish-january-18-1989-gallaghers-waitsfield-vt-usa.html
1989,1989-01-26,The Paradise,"Boston, MA",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-01-26.jpg,https://phish.net/setlists/phish-january-26-1989-the-paradise-boston-ma-usa.html
1989,1989-03-24,The Paradise,"Boston, MA",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-03-24.jpg,https://phish.net/setlists/phish-march-24-1989-the-paradise-boston-ma-usa.html
1989,1989-04-27,University Of New Hampshire,"Durham, NH",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-04-27.jpg,https://phish.net/setlists/phish-april-27-1989-strafford-room-memorial-union-building-university-of-new-hampshire-durham-nh-usa.html
1989,1989-04-28,Bowdoin College,"Brunswick, ME",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-04-28.jpg,https://phish.net/setlists/phish-april-28-1989-moulton-union-bowdoin-college-brunswick-me-usa.html
1989,1989-08-26,Townshend Family Park,"Townshend, VT",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-08-26.jpg,https://phish.net/setlists/phish-august-26-1989-townshend-family-park-townshend-vt-usa.html
1989,1989-10-06,The Paradise,"Boston, MA",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-10-06.jpg,https://phish.net/setlists/phish-october-06-1989-the-paradise-boston-ma-usa.html
1989,1989-11-11,University Of Vermont,"Burlington, VT",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-11-11.jpg,https://phish.net/setlists/phish-november-11-1989-patrick-gymnasium-university-of-vermont-burlington-vt-usa.html
1989,1989-12-01,The Paradise,"Boston, MA",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-12-01.jpg,https://phish.net/setlists/phish-december-01-1989-the-paradise-boston-ma-usa.html
1989,1989-12-16,Contois Auditorium at City Hall,"Burlington, VT",https://hykzrxjtkpssrfmcerky.supabase.co/storage/v1/object/public/ticket-images/1989-12-16.jpg,https://phish.net/setlists/phish-december-16-1989-contois-auditorium-city-hall-burlington-vt-usa.html
