year,date,venue,city_state,imageUrl,net_link
1989,"January 18, 1989",Gallagher's,"Waitsfield, VT",/images/1989-01-18.png,https://phish.net/setlists/phish-january-18-1989-gallaghers-waitsfield-vt-usa.html
1989,"January 26, 1989",The Paradise,"Boston, MA",/images/1989-01-26.JPG,https://phish.net/setlists/phish-january-26-1989-the-paradise-boston-ma-usa.html
1989,"March 24, 1989",The Paradise,"Boston, MA",/images/1989-03-24.png,https://phish.net/setlists/phish-march-24-1989-the-paradise-boston-ma-usa.html
1989,"April 27, 1989",University Of New Hampshire,"Durham, NH",/images/1989-04-27.png,https://phish.net/setlists/phish-april-27-1989-strafford-room-memorial-union-building-university-of-new-hampshire-durham-nh-usa.html
1989,"April 28, 1989",Bowdoin College,"Brunswick, ME",/images/1989-04-28.jpg,https://phish.net/setlists/phish-april-28-1989-moulton-union-bowdoin-college-brunswick-me-usa.html
1989,"August 26, 1989",Townshend Family Park,"Townshend, VT",/images/1989-08-26.jpg,https://phish.net/setlists/phish-august-26-1989-townshend-family-park-townshend-vt-usa.html
1989,"October 6, 1989",The Paradise,"Boston, MA",/images/1989-10-06.JPG,https://phish.net/setlists/phish-october-06-1989-the-paradise-boston-ma-usa.html
1989,"November 11, 1989",University Of Vermont,"Burlington, VT",/images/1989-11-11.png,https://phish.net/setlists/phish-november-11-1989-patrick-gymnasium-university-of-vermont-burlington-vt-usa.html
1989,"December 1, 1989",The Paradise,"Boston, MA",/images/1989-12-01.jpg,https://phish.net/setlists/phish-december-01-1989-the-paradise-boston-ma-usa.html
1989,"December 16, 1989",Contois Auditorium at City Hall,"Burlington, VT",/images/1989-12-16.png,https://phish.net/setlists/phish-december-16-1989-contois-auditorium-city-hall-burlington-vt-usa.html
1989,"December 31, 1989",World Trade Center Exhibition Hall,"Boston, MA",/images/1989-12-31.JPG,https://phish.net/setlists/phish-december-31-1989-boston-world-trade-center-exhibition-hall-boston-ma-usa.html
1990,"February 16, 1990",The Paradise,"Boston, MA",/images/1990-02-16.png,https://phish.net/setlists/phish-february-16-1990-the-paradise-boston-ma-usa.html
1990,"February 17, 1990",University Of Massachusetts,"Amherst, MA",/images/1990-02-17.png,https://phish.net/setlists/phish-february-17-1990-student-union-ballroom-university-of-massachusetts-amherst-ma-usa.html
1990,"March 2, 1990",The Chance,"Poughkeepsie, NY",/images/1990-03-02.JPG,https://phish.net/setlists/phish-march-02-1990-the-chance-poughkeepsie-ny-usa.html
1990,"March 7, 1990",University Of New Hampshire,"Durham, NH",/images/1990-03-07.JPG,https://phish.net/setlists/phish-march-07-1990-field-house-university-of-new-hampshire-durham-nh-usa.html
1990,"March 8, 1990",Aiko's,"Saratoga Springs, NY",/images/1990-03-08.jpg,https://phish.net/setlists/phish-march-08-1990-aikos-saratoga-springs-ny-usa.html
