YEAR,DATE,VENUE,CITY/STATE,IMAGE URL,NET LINK
1983,October 30, 1983,Harris-Millis Cafeteria - University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-30-1983-harris-millis-cafeteria-university-of-vermont-burlington-vt-usa.html
1983,December 2, 1983,Harris-Millis Cafeteria - University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-december-02-1983-harris-millis-cafeteria-university-of-vermont-burlington-vt-usa.html
1983,December 3, 1983,Marsh Austin Tupper Dormitory University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-december-03-1983-marsh-austin-tupper-dormitory-university-of-vermont-burlington-vt-usa.html
1984,October 23, 1984,69 Grant Street Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-23-1984-69-grant-street-burlington-vt-usa.html
1984,November 3, 1984,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-03-1984-slade-hall-university-of-vermont-burlington-vt-usa.html
1984,December 1, 1984,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-december-01-1984-nectars-burlington-vt-usa.html
1985,February 1, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-01-1985-doolins-burlington-vt-usa.html
1985,February 15, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-15-1985-doolins-burlington-vt-usa.html
1985,February 22, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-22-1985-doolins-burlington-vt-usa.html
1985,February 25, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-25-1985-doolins-burlington-vt-usa.html
1985,February 25, 1985,Private Party Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-25-1985-private-party-burlington-vt-usa.html
1985,March 2, 1985,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-02-1985-hunts-burlington-vt-usa.html
1985,March 4, 1985,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-04-1985-hunts-burlington-vt-usa.html
1985,March 8, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-08-1985-doolins-burlington-vt-usa.html
1985,March 16, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-16-1985-doolins-burlington-vt-usa.html
1985,March 29, 1985,Doolins Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-29-1985-doolins-burlington-vt-usa.html
1985,April 6, 1985,Finbars Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-06-1985-finbars-burlington-vt-usa.html
1985,April 19, 1985,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-19-1985-hunts-burlington-vt-usa.html
1985,April 21, 1985,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-21-1985-goddard-college-plainfield-vt-usa.html
1985,May 1, 1985,University Of Vermont Vt,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-01-1985-university-of-vermont-burlington-vt-usa-3.html
1985,May 1, 1985,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-01-1985-university-of-vermont-burlington-vt-usa.html
1985,May 3, 1985,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-03-1985-university-of-vermont-burlington-vt-usa.html
1985,May 7, 1985,Finbars Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-07-1985-finbars-burlington-vt-usa.html
1985,May 31, 1985,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-31-1985-slade-hall-university-of-vermont-burlington-vt-usa.html
1985,September 26, 1985,WRUV Radio Burlington Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-26-1985-wruv-radio-burlington-vt-usa.html
1985,September 26, 1985,WRUV Radio Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-26-1985-wruv-radio-burlington-vt-usa.html
1985,September 27, 1985,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-27-1985-slade-hall-university-of-vermont-burlington-vt-usa.html
