year,date,venue,city_state,imageUrl,net_link
2025,2025/02/02,boboo,"dkdkd, OK",,
2022,2022-09-04,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-04-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-04,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-04-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-04,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-04-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-03,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-03-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-03,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-03-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-03,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-03-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-02,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-02-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-02,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-02-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-02,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-02-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-01,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-01-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-01,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-01-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-09-01,Dick's Sporting Goods Park,"Commerce City, CO",,https://phish.net/setlists/phish-september-01-2022-dicks-sporting-goods-park-commerce-city-co-usa.html
2022,2022-08-14,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-14-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-14,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-14-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-14,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-14-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-13,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-13-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-13,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-13-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-13,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-13-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-12,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-12-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-12,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-12-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-12,Alpine Valley,"East Troy, WI",,https://phish.net/setlists/phish-august-12-2022-alpine-valley-music-theatre-east-troy-wi-usa.html
2022,2022-08-10,Budweiser Stage,"Toronto, Canada",,https://phish.net/setlists/phish-august-10-2022-budweiser-stage-toronto-ontario-canada.html
2022,2022-08-10,Budweiser Stage,"Toronto, Canada",,https://phish.net/setlists/phish-august-10-2022-budweiser-stage-toronto-ontario-canada.html
2022,2022-08-10,Budweiser Stage,"Toronto, Canada",,https://phish.net/setlists/phish-august-10-2022-budweiser-stage-toronto-ontario-canada.html
2022,2022-08-07,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-07-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-07,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-07-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-07,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-07-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-06,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-06-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-06,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-06-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-06,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-06-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-05,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-05-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-05,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-05-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-05,Atlantic City Beach,"Atlantic City, NJ",,https://phish.net/setlists/phish-august-05-2022-atlantic-city-beach-atlantic-city-nj-usa.html
2022,2022-08-03,Pine Knob Music Theatre,"Clarkston, MI",,https://phish.net/setlists/phish-august-03-2022-pine-knob-music-theatre-clarkston-mi-usa.html
2022,2022-08-03,Pine Knob Music Theatre,"Clarkston, MI",,https://phish.net/setlists/phish-august-03-2022-pine-knob-music-theatre-clarkston-mi-usa.html
2022,2022-08-03,Pine Knob Music Theatre,"Clarkston, MI",,https://phish.net/setlists/phish-august-03-2022-pine-knob-music-theatre-clarkston-mi-usa.html
2022,2022-08-02,Blossom Music Center,"Cuyahoga Falls, OH",,https://phish.net/setlists/phish-august-02-2022-blossom-music-center-cuyahoga-falls-oh-usa.html
2022,2022-08-02,Blossom Music Center,"Cuyahoga Falls, OH",,https://phish.net/setlists/phish-august-02-2022-blossom-music-center-cuyahoga-falls-oh-usa.html
2022,2022-08-02,Blossom Music Center,"Cuyahoga Falls, OH",,https://phish.net/setlists/phish-august-02-2022-blossom-music-center-cuyahoga-falls-oh-usa.html
2022,2022-07-31,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-31-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-31,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-31-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-31,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-31-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-30,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-30-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-30,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-30-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-30,Merriweather Post Pavilion,"Columbia, MD",,https://phish.net/setlists/phish-july-30-2022-merriweather-post-pavilion-columbia-md-usa.html
2022,2022-07-29,Walnut Creek,"Raleigh, NC",,https://phish.net/setlists/phish-july-29-2022-coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-usa.html
2022,2022-07-29,Walnut Creek,"Raleigh, NC",,https://phish.net/setlists/phish-july-29-2022-coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-usa.html
2022,2022-07-29,Walnut Creek,"Raleigh, NC",,https://phish.net/setlists/phish-july-29-2022-coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-usa.html
2022,2022-07-27,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-27-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-27,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-27-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-27,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-27-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-26,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-26-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-26,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-26-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-26,Jones Beach Theater,"Wantagh, NY",,https://phish.net/setlists/phish-july-26-2022-northwell-health-at-jones-beach-theater-wantagh-ny-usa.html
2022,2022-07-24,Xfinity Theatre,"Hartford, CT",,https://phish.net/setlists/phish-july-24-2022-xfinity-theatre-hartford-ct-usa.html
2022,2022-07-24,Xfinity Theatre,"Hartford, CT",,https://phish.net/setlists/phish-july-24-2022-xfinity-theatre-hartford-ct-usa.html
2022,2022-07-24,Xfinity Theatre,"Hartford, CT",,https://phish.net/setlists/phish-july-24-2022-xfinity-theatre-hartford-ct-usa.html
2022,2022-07-23,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-23-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-23,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-23-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-23,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-23-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-22,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-22-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-22,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-22-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-22,Bethel Woods Center for the Arts,"Bethel, NY",,https://phish.net/setlists/phish-july-22-2022-bethel-woods-center-for-the-arts-bethel-ny-usa.html
2022,2022-07-20,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-20-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-20,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-20-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-20,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-20-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-19,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-19-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-19,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-19-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-19,TD Pavilion at the Mann,"Philadelphia, PA",,https://phish.net/setlists/phish-july-19-2022-td-pavilion-at-the-mann-philadelphia-pa-usa.html
2022,2022-07-16,Maine Savings Amphitheater,"Bangor, ME",,https://phish.net/setlists/phish-july-16-2022-maine-savings-amphitheater-bangor-me-usa.html
2022,2022-07-16,Maine Savings Amphitheater,"Bangor, ME",,https://phish.net/setlists/phish-july-16-2022-maine-savings-amphitheater-bangor-me-usa.html
2022,2022-07-16,Maine Savings Amphitheater,"Bangor, ME",,https://phish.net/setlists/phish-july-16-2022-maine-savings-amphitheater-bangor-me-usa.html
2022,2022-07-15,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-15-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-07-15,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-15-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-07-15,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-15-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-07-14,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-14-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-07-14,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-14-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-07-14,Xfinity Center,"Mansfield, MA",,https://phish.net/setlists/phish-july-14-2022-xfinity-center-mansfield-ma-usa.html
2022,2022-06-05,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-05-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-05,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-05-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-05,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-05-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-04,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-04-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-04,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-04-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-04,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-04-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-03,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-03-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-03,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-03-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-03,Deer Creek,"Noblesville, IN",,https://phish.net/setlists/phish-june-03-2022-ruoff-music-center-noblesville-in-usa.html
2022,2022-06-01,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-june-01-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-06-01,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-june-01-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-06-01,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-june-01-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-05-31,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-may-31-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-05-31,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-may-31-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-05-31,Credit One Stadium,"Charleston, SC",,https://phish.net/setlists/phish-may-31-2022-credit-one-stadium-charleston-sc-usa.html
2022,2022-05-29,The Wharf Amphitheater,"Orange Beach, AL",,https://phish.net/setlists/phish-may-29-2022-the-wharf-amphitheater-orange-beach-al-usa.html
2022,2022-05-29,The Wharf Amphitheater,"Orange Beach, AL",,https://phish.net/setlists/phish-may-29-2022-the-wharf-amphitheater-orange-beach-al-usa.html
2022,2022-05-29,The Wharf Amphitheater,"Orange Beach, AL",,https://phish.net/setlists/phish-may-29-2022-the-wharf-amphitheater-orange-beach-al-usa.html
2022,2022-05-28,The Wharf Amphitheater,"Orange Beach, AL",,https://phish.net/setlists/phish-may-28-2022-the-wharf-amphitheater-orange-beach-al-usa.html
2022,2022-05-28,The Wharf Amphitheater,"Orange Beach, AL",,https://phish.net/setlists/phish-may-28-2022-the-wharf-amphitheater-orange-beach-al-usa.html
